ASID,Rotation,TYPE,ASSET_ID,SOURCE_ID,ACCESS,SURFACE_MA,LENGTH_M,WIDTH_M,STARTX,STARTY,ENDX,ENDY,DATE_OF_CO,OWNER,CURRENT_MA,CURRENTLY_,DEP_DAS_ID,CONDITION_,RISK_RATIN,SWEEPING_M,SWEEPING_I,INSP1,DATE_INSP1,INSP2,DATE_INSP2,INSP3,DATE_INSP3,INSP4,DATE_INSP4,INSP5,DATE_INSP5,INSP6,DATE_INSP6,INSP7,DATE_INSP7,INSP8,DATE_INSP8,INSP9,DATE_INSP9,INSP10,DATE_INS00,LAST_MAINT,ASSET_INFO,CONSQ_FAIL,SRVY_DATE,SRVY_TIME,SECTION,XSP,STCHAIN,ENDCHAIN,START_DATE,_DBFOCode,_Source,CreateDate,UserID
"16","0","","*","2600000016","","CONCRETE","6.229646676","2.000000000","449394.841846914","515260.657426278","449393.159854449","515266.655709288","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A174/55","R1","13.160000000","14.770000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"17","0","","*","2600000017","","CONCRETE","26.070378610","2.000000000","449396.655760356","515250.410359471","449406.970331794","515226.467213125","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A174/55","L1","18.420000000","21.090000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"18","0","","*","2600000018","","CONCRETE","5.808824085","1.500000000","449433.873966167","515279.152132224","449438.029476961","515275.093294054","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A174/56","L1","151.500000000","151.990000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"19","0","","*","2600000019","","CONCRETE","10.386201602","1.500000000","449427.591229608","515284.840503944","449419.370903690","515291.188686796","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A174/56","R1","153.010000000","155.010000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"20","0","","*","2600000020","","CONCRETE","77.627563512","1.500000000","449470.844820144","515185.748868630","449400.687595235","515218.629456659","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A174/36","L1","175.230000000","252.690000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"21","0","","*","2600000021","","CONCRETE","172.177972973","1.500000000","449603.878881010","515077.129960469","449470.844820144","515185.748868630","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A174/36","L2","5.260000000","175.230000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"22","0","","*","2600000022","","CONCRETE","68.572983006","2.000000000","451732.061072182","515540.377357281","451668.623572070","515545.595863499","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A174/50","L2","5.260000000","80.230000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"23","0","","*","2600000023","","CONCRETE","31.726527381","1.500000000","451731.253056194","515551.464183710","451710.186925080","515575.187393012","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A174/50","R2","11.340000000","37.330000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"24","0","","*","2600000024","","CONCRETE","8.221861641","1.800000000","451704.060844682","515581.785504322","451698.437713011","515587.783787331","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A174/57","R1","3.070000000","5.640000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"25","0","","*","2600000025","","CONCRETE","15.622936793","1.500000000","451747.561787052","515564.720389160","451737.502812508","515576.656972349","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A174/54","L1","44.250000000","55.280000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
