FROM,ASID,SOURCE_ID,SURFACE_MA,LENGTH_M,WIDTH_M,STARTX,STARTY,ENDX,ENDY,DATE_OF_CO,OWNER,CURRENT_MA,CURRENTLY_,SECTION,XSP,STCHAIN,ENDCHAIN,ASSET_LEN,_DBFOCODE,_SOURCE,CREATEDATE,START_DATE,WKT
A19_Footway_0,3,2600000003,ASPHALT,28.743138568,1,439570.686643731,474854.433587539,439592.783407482,474872.808327824,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A168/140,L1,665.94,694.2,28.26,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(439570.686643731 474854.433587539,439592.783407482 474872.808327824)"
A19_Footway_0,4,2600000004,ASPHALT,2.441307504,2,442497.188630956,485222.875651871,442497.089690222,485225.314953628,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A19/706,L1,0,156.44,156.44,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(442497.188630956 485222.875651871,442497.089690222 485225.314953628)"
A19_Footway_0,5,2600000005,ASPHALT,143.226694029,1.5,442501.657454073,485079.746622129,442497.188630956,485222.875651871,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A19/706,L2,10.88,154.01,143.13,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(442501.657454073 485079.746622129,442497.188630956 485222.875651871)"
A19_Footway_0,6,2600000006,ASPHALT,132.276459765,1.4,447204.747491934,520301.40452743,447264.8457423,520184.028126075,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/384,L1,0.52,133.95,133.43,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(447204.747491934 520301.40452743,447264.8457423 520184.028126075)"
A19_Footway_0,7,2600000007,ASPHALT,15.504507913,1.4,447195.686169784,520313.940938919,447204.747491934,520301.40452743,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/386,L1,336.21,352,15.79,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(447195.686169784 520313.940938919,447204.747491934 520301.40452743)"
A19_Footway_0,8,2600000008,ASPHALT,15.869023627,3.3,447056.468313092,517225.904880046,447045.090128773,517214.938019277,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/372,L1,0,11.22,11.22,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(447056.468313092 517225.904880046,447045.090128773 517214.938019277)"
A19_Footway_0,9,2600000009,ASPHALT,10.467258213,3,447089.127000114,517332.594340506,447090.314288912,517322.317282283,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/376,L1,78.83,86,7.17,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(447089.127000114 517332.594340506,447090.314288912 517322.317282283)"
A19_Footway_0,10,2600000010,ASPHALT,39.415755759,1,447171.627081491,520345.152004845,447195.686169784,520313.940938919,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/386,L1,294.75,336.21,41.46,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(447171.627081491 520345.152004845,447195.686169784 520313.940938919)"
A19_Footway_0,11,2600000011,ASPHALT,227.222642158,2.5,446998.340632329,520489.810596753,447171.627081491,520345.152004845,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/386,L1,56.43,294.75,238.32,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(446998.340632329 520489.810596753,447171.627081491 520345.152004845)"
A19_Footway_0,12,2600000012,ASPHALT,16.004521431,5,446984.002471075,520496.688627937,446998.340632329,520489.810596753,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/386,L1,39.63,56.43,16.8,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(446984.002471075 520496.688627937,446998.340632329 520489.810596753)"
A19_Footway_0,13,2600000013,ASPHALT,61.406855463,3.5,446775.691002355,520575.716006586,446835.187363261,520569.277849489,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/390,L1,439.27,503.22,63.9500000000001,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(446775.691002355 520575.716006586,446835.187363261 520569.277849489)"
A19_Footway_0,14,2600000014,ASPHALT,438.001113352,2.9,446359.282436505,520702.629677925,446775.691002355,520575.716006586,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/390,L2,1.06,439.27,438.21,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(446359.282436505 520702.629677925,446775.691002355 520575.716006586)"
A19_Footway_0,15,2600000015,CONCRETE,5.506053503,1.5,449531.157442098,515202.783992376,449536.343585531,515200.934521782,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A174/40,L1,182.22,186.89,4.66999999999999,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(449531.157442098 515202.783992376,449536.343585531 515200.934521782)"
